Latitude;Longitude;OBJECTID;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TOTAL_LITROS
-9.151789464;38.70863563;406;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;240
-9.151789464;38.70863563;407;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;700
-9.151789464;38.70863563;408;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;90
-9.151789464;38.70863563;409;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;480
-9.151789464;38.70863563;410;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;240
-9.151789464;38.70863563;403;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;700
-9.151789464;38.70863563;404;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;90
-9.151789464;38.70863563;405;15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;480
-9.152018979;38.70860661;411;15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo);Lixos;120
-9.152018979;38.70860661;412;15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo);Lixos;280
-9.152018979;38.70860661;413;15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo);Lixos;240
-9.152018979;38.70860661;414;15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo);Lixos;120
-9.152018979;38.70860661;415;15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo);Lixos;280
-9.152018979;38.70860661;416;15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo);Lixos;240
-9.149105527;38.70907338;417;15818: Tv Marques de Sampaio (Ambos (->)(->): R da Boavista - R da Boavista);Lixos;240
-9.147649761;38.70856359;418;15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marques de Sampaio);Lixos;1260
-9.147649761;38.70856359;419;15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marques de Sampaio);Lixos;240
-9.147649761;38.70856359;420;15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marques de Sampaio);Lixos;720
-9.147649761;38.70856359;421;15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marques de Sampaio);Lixos;180
-9.147649761;38.70856359;422;15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marques de Sampaio);Lixos;1100
-9.14857178;38.70872672;423;15820: R da Boavista (Ambos (->)(34->84): Tv Marques de Sampaio - Bqr dos Ferreiros);Lixos;840
-9.14857178;38.70872672;424;15820: R da Boavista (Ambos (->)(34->84): Tv Marques de Sampaio - Bqr dos Ferreiros);Lixos;480
-9.14857178;38.70872672;425;15820: R da Boavista (Ambos (->)(34->84): Tv Marques de Sampaio - Bqr dos Ferreiros);Lixos;90
-9.149113446;38.7088211;426;15821: R da Boavista (Ambos (45->49)(86->90): Bqr dos Ferreiros - Tv Marques de Sampaio);Lixos;280
